r,Lp,Lt,rho,p_p,p_t,p_t_minus_p_p,trace,p2_p3_abs_split,w_p,w_t,rho_fit_rms,p_p_fit_rms,p_t_fit_rms
0.25,1,0.25,-86.539916940113699,69.7848162132602,-78.162366576687049,-147.94718278994725,-1.9895196601282805e-13,7.1054273576010019e-14,-0.80638875886086003,0.90319437943043113,6.6028866905386915e-06,7.1295811980516255e-08,3.3370769641731349e-06
0.26182353070515668,1,0.26182353070515668,-72.609522275371503,57.333517507477865,-64.971519891424634,-122.3050373989025,1.1368683772161603e-13,4.2632564145606011e-14,-0.78961430554577383,0.89480715277288625,5.7451474088373542e-06,6.7828170643769682e-08,2.9064735567820399e-06
0.27420624492365647,1,0.27420624492365647,-60.970528098654853,47.043048604350155,-54.006788351502593,-101.04983695585275,-1.7053025658242404e-13,6.3948846218409017e-14,-0.77157029914897568,0.88578514957448928,4.9985959704512198e-06,6.4162567879149069e-08,2.5313651012818248e-06
0.28717458874925872,1,0.28717458874925872,-51.241487310557652,38.543488683886196,-44.89248799722202,-83.435976681108215,-1.9895196601282805e-13,2.8421709430404007e-14,-0.75219301208583,0.87609650604291689,4.3488477114015848e-06,6.0300460824914116e-08,2.2045600052420504e-06
0.30075625902052916,1,0.30075625902052916,-43.104862785399931,31.52780925209532,-37.316336018747648,-68.844145270842972,-4.2632564145606011e-14,1.4210854715202004e-14,-0.73142117187701894,0.86571058593851002,3.7833799284016542e-06,5.6245838807486211e-08,1.91979880260915e-06
0.3149802624737183,1,0.3149802624737183,-36.296282744583202,25.74121922548111,-31.018750985032234,-56.759970210513345,-1.5631940186722204e-13,2.8421709430404007e-14,-0.70919712100057097,0.85459856050028771,3.2912907119901451e-06,5.2005532264001441e-08,1.6716340158819022e-06
0.32987697769322355,1,0.32987697769322355,-30.59560580727765,20.972311689817889,-25.783958748547768,-46.756270438365661,0,1.7763568394002505e-14,-0.68546809701768652,0.84273404850884326,2.8630890627552752e-06,4.7589527125421343e-08,1.4553251044271247e-06
0.345478219991944,1,0.345478219991944,-25.819490636376653,17.045707918774792,-21.432599277575715,-38.478307196350507,1.4210854715202004e-14,7.1054273576010019e-15,-0.66018761403291881,0.83009380701645918,2.4905120677598647e-06,4.3011327348836625e-08,1.2667473531931424e-06
0.36181730936009449,1,0.36181730936009449,-21.815216557243424,13.81594563155773,-17.815581094400564,-31.631526725958295,2.8421709430404007e-14,1.0658141036401503e-14,-0.63331691415047386,0.81665845707523632,2.1663657960736281e-06,3.8288137854595839e-08,1.1023123487342542e-06
0.3789291416275995,1,0.3789291416275995,-18.455544304499032,11.162401191090154,-14.808972747794627,-25.971373938884781,-6.7501559897209518e-14,1.7763568394002505e-15,-0.60482644168717481,0.80241322084358924,1.8843867243049145e-06,3.3441068372871808e-08,9.5889886137406461e-07
