run_id,run_kind,perturbation,r0,epsilon,delta0,max_q,N_at_max_q,first_crossing_N,last_crossing_N,dwell_time_within_0p1_percent,dwell_time_within_1_percent,q_at_N_10,q_at_N_20,max_abs_delta_over_H,max_abs_casimir_fraction,minimum_H_p,minimum_H_t,constraint_residual,continuity_residual,classification,valid,invalid_reason
1,grid,baseline,1.01,1e-06,0.0,1.0000000017675705,0.29,,,0.0,0.0,1.0000000000000022,1.0,1.767570506935485e-09,2.791972126957361e-07,0.9999998604014229,0.9999998604014229,1.4802977476861438e-16,2.9768255385713325e-16,NO_CROSSING,True,
2,grid,baseline,1.01,1.3990503141372929e-06,0.0,1.0000000024729188,0.29,,,0.0,0.0,0.9999999999998634,1.000000000000002,2.4729187899920946e-09,3.906109916476558e-07,0.9999998046945614,0.9999998046945614,1.480297921714942e-16,2.886252954975138e-16,NO_CROSSING,True,
3,grid,baseline,1.01,1.9573417814876616e-06,0.0,1.0000000034597358,0.29,,,0.0,0.0,0.9999999999999184,1.0000000000000075,3.459735748395114e-09,5.464845157525543e-07,0.9999997267578541,0.9999997267578541,1.4802981751264647e-16,3.26295074364053e-16,NO_CROSSING,True,
4,grid,baseline,1.01,2.7384196342643613e-06,0.0,1.0000000048403426,0.29,,,0.0,0.0,0.9999999999999917,1.0,4.840342493452605e-09,7.645595001659509e-07,0.9999996177204691,0.9999996177204691,1.4802984979422897e-16,3.293626934903073e-16,NO_CROSSING,True,
5,grid,baseline,1.01,3.831186849557285e-06,0.0,1.000000006771883,0.29,,,0.0,0.0,1.0000000000000455,1.000000000000001,6.771883100300701e-09,1.0696575352338884e-06,0.9999994651716615,0.9999994651716615,1.4802986117219819e-16,3.6151615735830994e-16,NO_CROSSING,True,
6,grid,baseline,1.01,5.3600231653917955e-06,0.0,1.0000000094742074,0.29,,,0.0,0.0,0.9999999999999557,1.0,9.47420727742585e-09,1.4965053494673782e-06,0.9999992517481652,0.9999992517481652,1.4802995814398023e-16,3.187158770658947e-16,NO_CROSSING,True,
7,grid,baseline,1.01,7.498942093324558e-06,0.0,1.000000013254897,0.29,,,0.0,0.0,0.9999999999998368,1.000000000000002,1.3254896808969939e-08,2.0936875295907406e-06,0.999998953157879,0.999998953157879,1.4803000071983756e-16,2.898830259569213e-16,NO_CROSSING,True,
8,grid,baseline,1.01,1.0491397291363112e-05,0.0,1.0000000185442757,0.29,,,0.0,0.0,0.99999999999999,0.9999999999999997,1.8544275538639582e-08,2.9291766432672926e-06,0.9999985354148959,0.9999985354148959,1.4803017022193453e-16,2.9020698199825985e-16,NO_CROSSING,True,
9,grid,baseline,1.01,1.4677992676220705e-05,0.0,1.0000000259443904,0.29,,,0.0,0.0,1.00000000000001,1.0000000000000002,2.5944389913159306e-08,4.098070293115439e-06,0.9999979509711512,0.9999979509711512,1.4803025355770062e-16,3.1044466629608897e-16,NO_CROSSING,True,
10,grid,baseline,1.01,2.0535250264571462e-05,0.0,1.0000000362975376,0.29,,,0.0,0.0,0.9999999999999987,1.0000000000000002,3.6297536836588054e-08,5.733415907002662e-06,0.9999971333043735,0.9999971333043735,1.4803052007999825e-16,3.3446778562911627e-16,NO_CROSSING,True,
