R_kpc,gN,g_aqual,vN_kms,v_aqual_kms
6.000000000000000888e-01,1.572626632098015762e+03,2.680530118023829800e+03,3.071768186661893196e+01,4.010384109800828156e+01
1.097872340425531945e+00,2.033482032090921621e+03,3.141705164568813416e+03,4.724937753859754963e+01,5.872981527258658474e+01
1.595744680851063801e+00,2.243869245625293388e+03,3.345606105001682863e+03,5.983846934232067127e+01,7.306663497301131827e+01
2.093617021276595658e+00,2.315109392443331217e+03,3.413969497540702832e+03,6.962005767116741595e+01,8.454315259185879938e+01
2.591489361702127958e+00,2.302790215158522642e+03,3.402169739117341123e+03,7.725060740741825782e+01,9.389721340714800135e+01
3.089361702127659814e+00,2.239265826327151899e+03,3.341177733105776952e+03,8.317392671227173651e+01,1.015977683251886106e+02
3.587234042553191671e+00,2.144825642179267561e+03,3.250016874790821021e+03,8.771540092233792052e+01,1.079748636124258638e+02
4.085106382978723971e+00,2.032709856187241485e+03,3.140950582121024127e+03,9.112538618987720440e+01,1.132745217233042894e+02
4.582978723404255383e+00,1.911735492304584568e+03,3.022088463532003061e+03,9.360258055208024075e+01,1.176867330186908873e+02
5.080851063829786796e+00,1.787814586313756536e+03,2.898856560797824841e+03,9.530802507030905701e+01,1.213616844017072225e+02
5.578723404255319096e+00,1.664893433262270037e+03,2.774891699711026376e+03,9.637416646452106761e+01,1.244200677923449945e+02
6.076595744680851396e+00,1.545562222149689433e+03,2.652613663167701361e+03,9.691107688109900664e+01,1.269600759998478452e+02
6.574468085106383697e+00,1.431464673952548310e+03,2.533604039296870724e+03,9.701092110612208330e+01,1.290623837400111711e+02
7.072340425531914221e+00,1.323580325937731232e+03,2.418863070447070186e+03,9.675128239753789217e+01,1.307938189554424753e+02
7.570212765957446521e+00,1.222422651676961323e+03,2.308986665699253535e+03,9.619771079979234685e+01,1.322101370285274697e+02
8.068085106382978822e+00,1.128179934181638600e+03,2.204289779981184438e+03,9.540572165384530479e+01,1.333581551462767152e+02
8.565957446808511122e+00,1.040816317911571105e+03,2.104893073386158449e+03,9.442239294348792100e+01,1.342774161827215664e+02
9.063829787234041646e+00,9.601446737957194273e+02,2.010784083245867805e+03,9.328766206955641849e+01,1.350014987673099540e+02
9.561702127659573947e+00,8.858792420080951615e+02,1.921860528659521833e+03,9.203539228556726925e+01,1.355590568938449962e+02
1.005957446808510625e+01,8.176736178188567692e+02,1.837960998553125819e+03,9.069425918456664704e+01,1.359746503374111626e+02
1.055744680851063855e+01,7.551480345625645896e+02,1.758886684686960507e+03,8.928849426127439415e+01,1.362694118860876529e+02
1.105531914893616907e+01,6.979087912071776145e+02,1.684416735010279353e+03,8.783851332783135035e+01,1.364615864825983920e+02
1.155319148936170137e+01,6.455618975627400005e+02,1.614319050752971862e+03,8.636145101130502155e+01,1.365669693530382744e+02
1.205106382978723367e+01,5.977224594551670407e+02,1.548357824570068487e+03,8.487161782004412203e+01,1.365992641826609599e+02
1.254893617021276597e+01,5.540209292996107706e+02,1.486298746164435215e+03,8.338089276772451797e+01,1.365703778111665088e+02
1.304680851063829827e+01,5.141070582518044603e+02,1.427912538761712767e+03,8.189906191757548015e+01,1.364906643809877949e+02
1.354468085106382880e+01,4.776521733348378689e+02,1.372977302384649647e+03,8.043411120685924232e+01,1.363691291185605508e+02
1.404255319148936110e+01,4.443502452106081932e+02,1.321280005852760041e+03,7.899248036377454696e+01,1.362135997727053507e+02
1.454042553191489340e+01,4.139180946197657249e+02,1.272617373338762945e+03,7.757928351777171372e+01,1.360308720388626114e+02
1.503829787234042570e+01,3.860949973356380269e+02,1.226796342272308948e+03,7.619850114637300464e+01,1.358268339607041071e+02
1.553617021276595622e+01,3.606418811414748120e+02,1.183634219706972544e+03,7.485314723688017580e+01,1.356065732441533953e+02
1.603404255319149030e+01,3.373402583078687940e+02,1.142958628495168568e+03,7.354541492583325635e+01,1.353744705837438005e+02
1.653191489361702082e+01,3.159909992551726532e+02,1.104607308847519334e+03,7.227680338002997473e+01,1.351342814415887688e+02
1.702978723404255490e+01,2.964130245274495792e+02,1.068427822293616600e+03,7.104822827559814868e+01,1.348892081991428995e+02
1.752765957446808542e+01,2.784419706389091971e+02,1.034277191702198479e+03,6.986011789714385145e+01,1.346419641931630622e+02
1.802553191489361950e+01,2.619288690986302299e+02,1.002021501412288558e+03,6.871249660265119985e+01,1.343948308273678833e+02
1.852340425531915002e+01,2.467388657062075197e+02,9.715354746282943097e+02,6.760505717011845661e+01,1.341497087023421670e+02
1.902127659574468055e+01,2.327499980775971835e+02,9.427020402848590948e+02,6.653722334973873842e+01,1.339081635137721946e+02
1.951914893617021463e+01,2.198520425750500635e+02,9.154118980442425482e+02,6.550820378352345585e+01,1.336714673214438562e+02
2.001702127659574515e+01,2.079454368190012303e+02,8.895630875542651665e+02,6.451703831684265822e+01,1.334406356791211010e+02
2.051489361702127923e+01,1.969402803252547187e+02,8.650605662811107095e+02,6.356263760873167001e+01,1.332164610306743384e+02
2.101276595744680975e+01,1.867554132102912376e+02,8.418157989322595540e+02,6.264381684631069902e+01,1.329995427144193911e+02
2.151063829787234027e+01,1.773175710892661243e+02,8.197463605510843081e+02,6.175932428029365440e+01,1.327903138704462265e+02
2.200851063829787435e+01,1.685606130621209786e+02,7.987755546894837835e+02,6.090786522096880162e+01,1.325890655106815075e+02
2.250638297872340488e+01,1.604248188950225824e+02,7.788320475724464131e+02,6.008812206537762535e+01,1.323959679853159344e+02
2.300425531914893895e+01,1.528562510431058001e+02,7.598495188042795689e+02,5.929877086520033913e+01,1.322110900594428529e+02
2.350212765957446948e+01,1.458061769394008422e+02,7.417663288931315719e+02,5.853849488998074690e+01,1.320344157983829803e+02
2.400000000000000000e+01,1.392305469270692129e+02,7.245252036614679128e+02,5.780599559085251826e+01,1.318658594476797532e+02
