Galaxy,V_flat_kms,M_b_Msun,V_ITSM_kms,Residual_kms,ML_source
CamB,16.8,21079653.28813598,19.35534853934387,-2.5553485393438677,mcmc
D564-8,24.0,46548120.7160865,23.59449401728602,0.4055059827139793,mcmc
D631-7,57.7,480862407.2860438,42.29999703545526,15.40000296454474,mcmc
DDO064,46.4,342696712.4252963,38.86535284894432,7.53464715105568,mcmc
DDO154,47.4,355451725.46497285,39.222049826371006,8.177950173628993,mcmc
DDO161,66.3,2424719712.154634,63.38704646117942,2.912953538820574,mcmc
DDO168,54.8,531208784.23204756,43.366207388273885,11.433792611726112,mcmc
DDO170,60.0,3534464695.3579307,69.64918555778314,-9.649185557783142,mcmc
ESO079-G014,177.0,7081228471.007757,82.8633109056803,94.1366890943197,mcmc
ESO116-G012,111.0,2670272656.355611,64.93428046973217,46.06571953026783,mcmc
ESO444-G084,62.7,219311377.7456892,34.76165309301508,27.938346906984926,mcmc
ESO563-G021,315.0,41903300886.453026,129.24007138303082,185.75992861696918,mcmc
F561-1,50.4,2744129443.0115623,65.3786997009387,-14.978699700938698,mcmc
F563-1,111.0,5985682180.456762,79.4535934357473,31.546406564252706,mcmc
F563-V1,28.6,907879527.203056,49.58407160620614,-20.984071606206136,mcmc
F563-V2,118.0,3851619404.264614,71.16164385707714,46.83835614292286,mcmc
F565-V2,78.5,1614381922.3977432,57.258069559781376,21.241930440218624,mcmc
F567-2,48.1,1790108069.888129,58.75636810165965,-10.656368101659652,mcmc
F568-1,133.0,7015568286.743907,82.67055332564327,50.32944667435673,mcmc
F568-3,117.0,6514212227.837553,81.15225762348521,35.84774237651479,mcmc
F568-V1,113.0,5375979607.367466,77.34807925076286,35.651920749237135,mcmc
F571-8,140.0,576127233.8264244,44.25524319193083,95.74475680806917,mcmc
F571-V1,83.9,3533264352.9511986,69.6432714005132,14.256728599486806,mcmc
F574-1,99.5,2750781426.152036,65.41828449825799,34.08171550174201,mcmc
F574-2,36.0,2485319377.7210817,63.779437086495875,-27.779437086495875,mcmc
