k_Q,C_IR,direction,q_cross_over_a0,q_over_a0,R_c,causal_Rc_le_1
0.25,0.5,parallel,0.125,0.1,0.8,True
0.25,0.5,parallel,0.125,0.3,2.4,False
0.25,0.5,parallel,0.125,0.5,4.0,False
0.25,0.5,parallel,0.125,0.75,6.0,False
0.25,0.5,parallel,0.125,1.0,8.0,False
0.25,0.5,parallel,0.125,1.5,12.0,False
0.25,0.5,parallel,0.125,2.0,16.0,False
0.25,0.5,parallel,0.125,3.0,24.0,False
0.25,0.5,perp,0.25,0.1,0.4,True
0.25,0.5,perp,0.25,0.3,1.2,False
0.25,0.5,perp,0.25,0.5,2.0,False
0.25,0.5,perp,0.25,0.75,3.0,False
0.25,0.5,perp,0.25,1.0,4.0,False
0.25,0.5,perp,0.25,1.5,6.0,False
0.25,0.5,perp,0.25,2.0,8.0,False
0.25,0.5,perp,0.25,3.0,12.0,False
0.25,0.6666666666666666,parallel,0.09375,0.1,1.0666666666666667,False
0.25,0.6666666666666666,parallel,0.09375,0.3,3.1999999999999997,False
0.25,0.6666666666666666,parallel,0.09375,0.5,5.333333333333333,False
0.25,0.6666666666666666,parallel,0.09375,0.75,8.0,False
0.25,0.6666666666666666,parallel,0.09375,1.0,10.666666666666666,False
0.25,0.6666666666666666,parallel,0.09375,1.5,16.0,False
0.25,0.6666666666666666,parallel,0.09375,2.0,21.333333333333332,False
0.25,0.6666666666666666,parallel,0.09375,3.0,32.0,False
0.25,0.6666666666666666,perp,0.1875,0.1,0.5333333333333333,True
0.25,0.6666666666666666,perp,0.1875,0.3,1.5999999999999999,False
0.25,0.6666666666666666,perp,0.1875,0.5,2.6666666666666665,False
0.25,0.6666666666666666,perp,0.1875,0.75,4.0,False
0.25,0.6666666666666666,perp,0.1875,1.0,5.333333333333333,False
0.25,0.6666666666666666,perp,0.1875,1.5,8.0,False
0.25,0.6666666666666666,perp,0.1875,2.0,10.666666666666666,False
0.25,0.6666666666666666,perp,0.1875,3.0,16.0,False
0.25,1.0,parallel,0.0625,0.1,1.6,False
0.25,1.0,parallel,0.0625,0.3,4.8,False
0.25,1.0,parallel,0.0625,0.5,8.0,False
0.25,1.0,parallel,0.0625,0.75,12.0,False
0.25,1.0,parallel,0.0625,1.0,16.0,False
0.25,1.0,parallel,0.0625,1.5,24.0,False
0.25,1.0,parallel,0.0625,2.0,32.0,False
