k_Q,C_IR,direction,q_cross_over_a0,max_sampled_q_over_a0_with_Rc_le_1
0.25,0.5,parallel,0.125,0.1
0.25,0.5,perp,0.25,0.1
0.25,0.6666666666666666,parallel,0.09375,nan
0.25,0.6666666666666666,perp,0.1875,0.1
0.25,1.0,parallel,0.0625,nan
0.25,1.0,perp,0.125,0.1
0.25,1.5,parallel,0.041666666666666664,nan
0.25,1.5,perp,0.08333333333333333,nan
0.5,0.5,parallel,0.25,0.1
0.5,0.5,perp,0.5,0.5
0.5,0.6666666666666666,parallel,0.1875,0.1
0.5,0.6666666666666666,perp,0.375,0.3
0.5,1.0,parallel,0.125,0.1
0.5,1.0,perp,0.25,0.1
0.5,1.5,parallel,0.08333333333333333,nan
0.5,1.5,perp,0.16666666666666666,0.1
1.0,0.5,parallel,0.5,0.5
1.0,0.5,perp,1.0,1.0
1.0,0.6666666666666666,parallel,0.375,0.3
1.0,0.6666666666666666,perp,0.75,0.75
1.0,1.0,parallel,0.25,0.1
1.0,1.0,perp,0.5,0.5
1.0,1.5,parallel,0.16666666666666666,0.1
1.0,1.5,perp,0.3333333333333333,0.3
2.0,0.5,parallel,1.0,1.0
2.0,0.5,perp,2.0,2.0
2.0,0.6666666666666666,parallel,0.75,0.75
2.0,0.6666666666666666,perp,1.5,1.5
2.0,1.0,parallel,0.5,0.5
2.0,1.0,perp,1.0,1.0
2.0,1.5,parallel,0.3333333333333333,0.3
2.0,1.5,perp,0.6666666666666666,0.5
4.0,0.5,parallel,2.0,2.0
4.0,0.5,perp,4.0,3.0
4.0,0.6666666666666666,parallel,1.5,1.5
4.0,0.6666666666666666,perp,3.0,3.0
4.0,1.0,parallel,1.0,1.0
4.0,1.0,perp,2.0,2.0
4.0,1.5,parallel,0.6666666666666666,0.5
4.0,1.5,perp,1.3333333333333333,1.0
