initial_q_over_H,delta_over_q2,left_mode,right_mode,q_s_over_q,q_t_over_q,q_u_over_q,combined_kernel_real,combined_kernel_abs,cancellation_ratio,total_imaginary_fraction,minimum_pole_separation,all_channels_domain_admitted_exact,near_homogeneous_any
50.0,0.0,physical_pair_1,physical_pair_1,1.1547005383792515,1.1547005383792515,1.1547005383792515,1.7275349377996587,1.7275349377996587,0.0692756344705924,5.985295150384941e-17,0.17233224640100378,True,False
50.0,0.05,physical_pair_1,physical_pair_1,1.1972189997378646,1.1972189997378646,1.0645812948447544,1.8357285235242475,1.8357285235242475,0.06891672537380597,5.955484520867407e-18,0.14247825484964893,True,False
50.0,0.1,physical_pair_1,physical_pair_1,1.2382783747337807,1.2382783747337807,0.9660917830792959,2.041214348325383,2.041214348325383,0.0695228216313363,3.770343980992108e-17,0.1136323998587946,True,False
50.0,0.15,physical_pair_1,physical_pair_1,1.2780193008453877,1.2780193008453877,0.8563488385776753,2.4134693747523155,2.4134693747523155,0.07210416588870953,4.9301687466322054e-17,0.08569873614359104,False,False
50.0,0.2,physical_pair_1,physical_pair_1,1.3165611772087666,1.3165611772087666,0.7302967433402214,3.1304928066795963,3.1304928066795963,0.078999642299289,1.6883849302309163e-18,0.05859566129558788,False,False
50.0,0.0,physical_pair_1,physical_pair_2,1.1547005383792515,1.1547005383792515,1.1547005383792515,-2.831779333635737,2.831779333635737,0.014205518265465955,1.0405232905098948e-17,0.22278432267755127,True,False
50.0,0.05,physical_pair_1,physical_pair_2,1.1972189997378646,1.1972189997378646,1.0645812948447544,-4.546620960389234,4.546620960389234,0.024191080585788723,1.0501841848444005e-16,0.19475013847323744,True,False
50.0,0.1,physical_pair_1,physical_pair_2,1.2382783747337807,1.2382783747337807,0.9660917830792959,-6.136388647658265,6.136388647658265,0.034873816867169366,1.0073910347558037e-18,0.1676626379306898,True,False
50.0,0.15,physical_pair_1,physical_pair_2,1.2780193008453877,1.2780193008453877,0.8563488385776753,-7.616310949080784,7.616310949080784,0.04655882171911221,9.374804161852548e-17,0.1414317242940228,False,False
50.0,0.2,physical_pair_1,physical_pair_2,1.3165611772087666,1.3165611772087666,0.7302967433402214,-9.009764104437096,9.009764104437096,0.059650980956959365,7.426965024781439e-17,0.11598076938619425,False,False
50.0,0.0,physical_pair_2,physical_pair_2,1.1547005383792515,1.1547005383792515,1.1547005383792515,-54.43040136855967,54.43040136855967,0.0065185123486856365,2.874522285461481e-17,0.26743898517521775,True,False
50.0,0.05,physical_pair_2,physical_pair_2,1.1972189997378646,1.1972189997378646,1.0645812948447544,-12.801172766450179,12.801172766450179,0.0016453132544763,2.9635069105905395e-17,0.24101549549311654,True,False
50.0,0.1,physical_pair_2,physical_pair_2,1.2382783747337807,1.2382783747337807,0.9660917830792959,34.309488284074405,34.309488284074405,0.004842058365388684,4.824180708617406e-17,0.2154842980848545,True,False
50.0,0.15,physical_pair_2,physical_pair_2,1.2780193008453877,1.2780193008453877,0.8563488385776753,85.90542745736036,85.90542745736036,0.013671513999155433,1.5365301643652502e-16,0.19076047267302376,False,False
50.0,0.2,physical_pair_2,physical_pair_2,1.3165611772087666,1.3165611772087666,0.7302967433402214,141.09818676630394,141.09818676630394,0.026084321625703608,1.058397326503447e-16,0.16677179372644158,False,False
75.0,0.0,physical_pair_1,physical_pair_1,1.1547005383792517,1.1547005383792517,1.1547005383792517,1.7733450290001525,1.7733450290001525,0.05365070322350928,6.186270141476233e-17,0.17848165531050048,True,False
75.0,0.05,physical_pair_1,physical_pair_1,1.1972189997378648,1.1972189997378648,1.0645812948447542,1.8929996173615766,1.8929996173615766,0.053309054783014516,3.669394937495614e-17,0.14852345839252365,True,False
75.0,0.1,physical_pair_1,physical_pair_1,1.2382783747337807,1.2382783747337807,0.966091783079296,2.1105581451783415,2.1105581451783415,0.053107776867379386,1.5656755287776455e-17,0.1195848130218867,True,False
75.0,0.15,physical_pair_1,physical_pair_1,1.2780193008453877,1.2780193008453877,0.8563488385776752,2.49583746953639,2.49583746953639,0.05358573389475135,3.6950419088909535e-17,0.09156815159135903,True,False
75.0,0.2,physical_pair_1,physical_pair_1,1.3165611772087666,1.3165611772087666,0.7302967433402215,3.2273498448444258,3.2273498448444258,0.05598974079953766,1.9760939639662772e-18,0.0643905484994221,True,False
75.0,0.0,physical_pair_1,physical_pair_2,1.1547005383792517,1.1547005383792517,1.1547005383792517,-2.50357200101773,2.50357200101773,0.010556044177165746,7.595465419633292e-17,0.23134590978564415,True,False
75.0,0.05,physical_pair_1,physical_pair_2,1.1972189997378648,1.1972189997378648,1.0645812948447542,-4.323976943003927,4.323976943003927,0.019427539697162974,5.713451668094137e-17,0.20331550639257878,True,False
75.0,0.1,physical_pair_1,physical_pair_2,1.2382783747337807,1.2382783747337807,0.966091783079296,-6.011825886459363,6.011825886459363,0.02894194304089844,1.487811945123209e-17,0.1762390469645059,True,False
75.0,0.15,physical_pair_1,physical_pair_2,1.2780193008453877,1.2780193008453877,0.8563488385776752,-7.5742395343038,7.5742395343038,0.03928584527522892,9.033995833670617e-17,0.15002524231615655,True,False
75.0,0.2,physical_pair_1,physical_pair_2,1.3165611772087666,1.3165611772087666,0.7302967433402215,-9.021232888533845,9.021232888533845,0.05069346207137368,1.1323794063485314e-16,0.12459650306294452,True,False
75.0,0.0,physical_pair_2,physical_pair_2,1.1547005383792517,1.1547005383792517,1.1547005383792517,-60.153873221150775,60.153873221150775,0.005458835953452761,9.348391515867311e-17,0.2778179295482428,True,False
75.0,0.05,physical_pair_2,physical_pair_2,1.1972189997378648,1.1972189997378648,1.0645812948447542,-15.359478932640116,15.359478932640116,0.0014989297446347857,4.302624745361831e-17,0.25148221493263895,True,False
75.0,0.1,physical_pair_2,physical_pair_2,1.2382783747337807,1.2382783747337807,0.966091783079296,35.40211070291156,35.40211070291156,0.0037962731395267558,3.6662181178130466e-17,0.22604276983085644,True,False
75.0,0.15,physical_pair_2,physical_pair_2,1.2780193008453877,1.2780193008453877,0.8563488385776752,91.09716426316481,91.09716426316481,0.011026977280022828,4.020274700340266e-17,0.20141382430597998,True,False
75.0,0.2,physical_pair_2,physical_pair_2,1.3165611772087666,1.3165611772087666,0.7302967433402215,150.81779876699918,150.81779876699918,0.021301925050107966,1.3391811926507838e-16,0.17752247994620265,True,False
