initial_q_over_H,delta_over_q2,left_mode,right_mode,q_s_over_q,q_t_over_q,q_u_over_q,combined_kernel_real,combined_kernel_abs,cancellation_ratio,total_imaginary_fraction,minimum_pole_separation,all_channels_domain_admitted_exact,near_homogeneous_any
50.0,0.0,physical_pair_1,physical_pair_1,1.1547005383792515,1.1547005383792515,1.1547005383792515,1.7275349377996587,1.7275349377996587,0.0692756344705924,5.985295150384941e-17,0.17233224640100378,True,False
50.0,0.1,physical_pair_1,physical_pair_1,1.2382783747337807,1.2382783747337807,0.9660917830792959,2.041214348325383,2.041214348325383,0.0695228216313363,3.770343980992108e-17,0.1136323998587946,True,False
50.0,0.2,physical_pair_1,physical_pair_1,1.3165611772087666,1.3165611772087666,0.7302967433402214,3.1304928066795963,3.1304928066795963,0.078999642299289,1.6883849302309163e-18,0.05859566129558788,False,False
50.0,0.25,physical_pair_1,physical_pair_1,1.35400640077266,1.35400640077266,0.5773502691896257,4.8061885086682,4.8061885086682,0.09755230800249709,1.01267924372926e-17,0.032253078342434204,False,False
50.0,0.28,physical_pair_1,physical_pair_1,1.3759844960366863,1.3759844960366863,0.4618802153517005,7.397999850443714,7.397999850443714,0.12640530574656764,1.627893080010785e-17,0.016786958276585964,False,False
50.0,0.3,physical_pair_1,physical_pair_1,1.390443574307614,1.390443574307614,0.3651483716701109,11.70673708232421,11.70673708232421,0.16996959614871804,3.747270009280979e-18,0.006610242379822201,False,False
50.0,0.31,physical_pair_1,physical_pair_1,1.3976170195491087,1.3976170195491087,0.3055050463303893,15.246850892794939,15.246850892794939,0.19179484263231042,2.659213658367565e-18,0.0015608563878592775,False,False
50.0,0.0,physical_pair_2,physical_pair_2,1.1547005383792515,1.1547005383792515,1.1547005383792515,-54.43040136855967,54.43040136855967,0.0065185123486856365,2.874522285461481e-17,0.26743898517521775,True,False
50.0,0.1,physical_pair_2,physical_pair_2,1.2382783747337807,1.2382783747337807,0.9660917830792959,34.309488284074405,34.309488284074405,0.004842058365388684,4.824180708617406e-17,0.2154842980848545,True,False
50.0,0.2,physical_pair_2,physical_pair_2,1.3165611772087666,1.3165611772087666,0.7302967433402214,141.09818676630394,141.09818676630394,0.026084321625703608,1.058397326503447e-16,0.16677179372644158,False,False
50.0,0.25,physical_pair_2,physical_pair_2,1.35400640077266,1.35400640077266,0.5773502691896257,199.4468133110675,199.4468133110675,0.0440026944049334,8.982133791022871e-17,0.14345621906818576,False,False
50.0,0.28,physical_pair_2,physical_pair_2,1.3759844960366863,1.3759844960366863,0.4618802153517005,236.71388245137547,236.71388245137547,0.058323652557091106,6.7902532910685564e-18,0.12976730034255782,False,False
50.0,0.3,physical_pair_2,physical_pair_2,1.390443574307614,1.390443574307614,0.3651483716701109,264.56209425354217,264.56209425354217,0.069724251687158,3.720240607898912e-17,0.12075998394959765,False,False
50.0,0.31,physical_pair_2,physical_pair_2,1.3976170195491087,1.3976170195491087,0.3055050463303893,281.7784805942021,281.7784805942021,0.07591283338726486,3.998179997714912e-17,0.11629081946852432,False,False
