route,V,C_obs,C_IR,J_I_a0_times_12piG,q_cross_par_over_a0_over_4piG,q_cross_perp_over_a0_over_4piG,larger_V_shrinks_causal_window,note
R2,0.1,0.6666666666666666,0.5,0.013628404446241051,36.68808054327362,73.37616108654724,True,Absolute q_cross/a0 requires G (or set units). J and q_cross/(a0 4 pi G) are redefinition-safe diagnostics.
R2,0.1,0.6666666666666666,0.6666666666666666,0.015000000000000005,33.33333333333332,66.66666666666664,True,Absolute q_cross/a0 requires G (or set units). J and q_cross/(a0 4 pi G) are redefinition-safe diagnostics.
R2,0.1,0.6666666666666666,1.0,0.017170713638299983,29.119348824543287,58.238697649086575,True,Absolute q_cross/a0 requires G (or set units). J and q_cross/(a0 4 pi G) are redefinition-safe diagnostics.
R2,0.1,1.0,0.5,0.007937005259841,62.99605249474364,125.99210498948727,True,Absolute q_cross/a0 requires G (or set units). J and q_cross/(a0 4 pi G) are redefinition-safe diagnostics.
R2,0.1,1.0,0.6666666666666666,0.008735804647362991,57.23571212766658,114.47142425533316,True,Absolute q_cross/a0 requires G (or set units). J and q_cross/(a0 4 pi G) are redefinition-safe diagnostics.
R2,0.1,1.0,1.0,0.010000000000000002,49.99999999999999,99.99999999999999,True,Absolute q_cross/a0 requires G (or set units). J and q_cross/(a0 4 pi G) are redefinition-safe diagnostics.
R2,0.1,1.5,0.5,0.0046224084956709,108.16871777305559,216.33743554611118,True,Absolute q_cross/a0 requires G (or set units). J and q_cross/(a0 4 pi G) are redefinition-safe diagnostics.
R2,0.1,1.5,0.6666666666666666,0.005087618855792588,98.27780228283358,196.55560456566715,True,Absolute q_cross/a0 requires G (or set units). J and q_cross/(a0 4 pi G) are redefinition-safe diagnostics.
R2,0.1,1.5,1.0,0.0058238697649086605,85.85356819149987,171.70713638299975,True,Absolute q_cross/a0 requires G (or set units). J and q_cross/(a0 4 pi G) are redefinition-safe diagnostics.
R2,0.3,0.6666666666666666,0.5,0.12265564001616944,4.0764533936970695,8.152906787394139,True,Absolute q_cross/a0 requires G (or set units). J and q_cross/(a0 4 pi G) are redefinition-safe diagnostics.
R2,0.3,0.6666666666666666,0.6666666666666666,0.135,3.7037037037037033,7.4074074074074066,True,Absolute q_cross/a0 requires G (or set units). J and q_cross/(a0 4 pi G) are redefinition-safe diagnostics.
R2,0.3,0.6666666666666666,1.0,0.1545364227446998,3.235483202727033,6.470966405454066,True,Absolute q_cross/a0 requires G (or set units). J and q_cross/(a0 4 pi G) are redefinition-safe diagnostics.
R2,0.3,1.0,0.5,0.07143304733856898,6.99956138830485,13.9991227766097,True,Absolute q_cross/a0 requires G (or set units). J and q_cross/(a0 4 pi G) are redefinition-safe diagnostics.
R2,0.3,1.0,0.6666666666666666,0.0786222418262669,6.359523569740733,12.719047139481466,True,Absolute q_cross/a0 requires G (or set units). J and q_cross/(a0 4 pi G) are redefinition-safe diagnostics.
R2,0.3,1.0,1.0,0.09,5.555555555555555,11.11111111111111,True,Absolute q_cross/a0 requires G (or set units). J and q_cross/(a0 4 pi G) are redefinition-safe diagnostics.
R2,0.3,1.5,0.5,0.04160167646103809,12.018746419228401,24.037492838456803,True,Absolute q_cross/a0 requires G (or set units). J and q_cross/(a0 4 pi G) are redefinition-safe diagnostics.
R2,0.3,1.5,0.6666666666666666,0.045788569702133276,10.919755809203735,21.83951161840747,True,Absolute q_cross/a0 requires G (or set units). J and q_cross/(a0 4 pi G) are redefinition-safe diagnostics.
R2,0.3,1.5,1.0,0.052414827884177936,9.539285354611097,19.078570709222195,True,Absolute q_cross/a0 requires G (or set units). J and q_cross/(a0 4 pi G) are redefinition-safe diagnostics.
R2,1.0,0.6666666666666666,0.5,1.362840444624105,0.36688080543273627,0.7337616108654725,True,Absolute q_cross/a0 requires G (or set units). J and q_cross/(a0 4 pi G) are redefinition-safe diagnostics.
R2,1.0,0.6666666666666666,0.6666666666666666,1.5,0.3333333333333333,0.6666666666666666,True,Absolute q_cross/a0 requires G (or set units). J and q_cross/(a0 4 pi G) are redefinition-safe diagnostics.
R2,1.0,0.6666666666666666,1.0,1.717071363829998,0.29119348824543295,0.5823869764908659,True,Absolute q_cross/a0 requires G (or set units). J and q_cross/(a0 4 pi G) are redefinition-safe diagnostics.
R2,1.0,1.0,0.5,0.7937005259840998,0.6299605249474365,1.259921049894873,True,Absolute q_cross/a0 requires G (or set units). J and q_cross/(a0 4 pi G) are redefinition-safe diagnostics.
