route,Z_psi,r_rho,C_IR,I_a0,q_cross_parallel_over_a0,q_cross_perp_over_a0,R_c_parallel_at_q_eq_a0,causal_at_q_eq_a0_parallel,product_Z_r,equiv_R1_k_Q
R3,0.1,0.01,0.5,333.3333333333333,0.0005,0.001,2000.0,False,0.001,0.001
R3,0.1,0.01,0.6666666666666666,444.4444444444444,0.000375,0.00075,2666.6666666666665,False,0.001,0.001
R3,0.1,0.01,1.0,666.6666666666666,0.00025,0.0005,4000.0,False,0.001,0.001
R3,0.1,0.1,0.5,33.33333333333332,0.005000000000000002,0.010000000000000004,199.99999999999994,False,0.010000000000000002,0.010000000000000002
R3,0.1,0.1,0.6666666666666666,44.444444444444436,0.0037500000000000007,0.0075000000000000015,266.66666666666663,False,0.010000000000000002,0.010000000000000002
R3,0.1,0.1,1.0,66.66666666666664,0.002500000000000001,0.005000000000000002,399.9999999999999,False,0.010000000000000002,0.010000000000000002
R3,0.1,1.0,0.5,3.333333333333333,0.05,0.1,20.0,False,0.1,0.1
R3,0.1,1.0,0.6666666666666666,4.444444444444444,0.037500000000000006,0.07500000000000001,26.666666666666664,False,0.1,0.1
R3,0.1,1.0,1.0,6.666666666666666,0.025,0.05,40.0,False,0.1,0.1
R3,0.1,10.0,0.5,0.3333333333333333,0.5,1.0,2.0,False,1.0,1.0
R3,0.1,10.0,0.6666666666666666,0.4444444444444444,0.375,0.75,2.6666666666666665,False,1.0,1.0
R3,0.1,10.0,1.0,0.6666666666666666,0.25,0.5,4.0,False,1.0,1.0
R3,1.0,0.01,0.5,33.33333333333333,0.005000000000000001,0.010000000000000002,199.99999999999997,False,0.01,0.01
R3,1.0,0.01,0.6666666666666666,44.44444444444444,0.0037500000000000007,0.0075000000000000015,266.66666666666663,False,0.01,0.01
R3,1.0,0.01,1.0,66.66666666666666,0.0025000000000000005,0.005000000000000001,399.99999999999994,False,0.01,0.01
R3,1.0,0.1,0.5,3.333333333333333,0.05,0.1,20.0,False,0.1,0.1
R3,1.0,0.1,0.6666666666666666,4.444444444444444,0.037500000000000006,0.07500000000000001,26.666666666666664,False,0.1,0.1
R3,1.0,0.1,1.0,6.666666666666666,0.025,0.05,40.0,False,0.1,0.1
R3,1.0,1.0,0.5,0.3333333333333333,0.5,1.0,2.0,False,1.0,1.0
R3,1.0,1.0,0.6666666666666666,0.4444444444444444,0.375,0.75,2.6666666666666665,False,1.0,1.0
R3,1.0,1.0,1.0,0.6666666666666666,0.25,0.5,4.0,False,1.0,1.0
R3,1.0,10.0,0.5,0.03333333333333333,5.0,10.0,0.2,True,10.0,10.0
R3,1.0,10.0,0.6666666666666666,0.04444444444444444,3.750000000000001,7.500000000000002,0.2666666666666666,True,10.0,10.0
R3,1.0,10.0,1.0,0.06666666666666667,2.5,5.0,0.4,True,10.0,10.0
R3,10.0,0.01,0.5,3.333333333333333,0.05,0.1,20.0,False,0.1,0.1
R3,10.0,0.01,0.6666666666666666,4.444444444444444,0.037500000000000006,0.07500000000000001,26.666666666666664,False,0.1,0.1
R3,10.0,0.01,1.0,6.666666666666666,0.025,0.05,40.0,False,0.1,0.1
R3,10.0,0.1,0.5,0.3333333333333333,0.5,1.0,2.0,False,1.0,1.0
R3,10.0,0.1,0.6666666666666666,0.4444444444444444,0.375,0.75,2.6666666666666665,False,1.0,1.0
R3,10.0,0.1,1.0,0.6666666666666666,0.25,0.5,4.0,False,1.0,1.0
R3,10.0,1.0,0.5,0.03333333333333333,5.0,10.0,0.2,True,10.0,10.0
R3,10.0,1.0,0.6666666666666666,0.04444444444444444,3.750000000000001,7.500000000000002,0.2666666666666666,True,10.0,10.0
R3,10.0,1.0,1.0,0.06666666666666667,2.5,5.0,0.4,True,10.0,10.0
R3,10.0,10.0,0.5,0.003333333333333333,50.00000000000001,100.00000000000001,0.019999999999999997,True,100.0,100.0
R3,10.0,10.0,0.6666666666666666,0.0044444444444444444,37.5,75.0,0.026666666666666665,True,100.0,100.0
R3,10.0,10.0,1.0,0.006666666666666666,25.000000000000004,50.00000000000001,0.039999999999999994,True,100.0,100.0
