case,family,t,initial_q_over_H,q_over_H,mode,Xi_participation,Q_rho_participation,Q_chi_participation,total_input_subspace_gain,within_tracked_subspace_gain,orthogonal_leakage_gain,full_transfer_gain,maximum_abs_pair_real_lambda_over_H,maximum_abs_pair_imag_lambda_over_H,assigned_subspace_overlap
baseline,reference,0.0,0.01,0.01,gauge_continuation_Xi,0.9999983933640249,1.606585670300215e-06,5.0304912933957877e-11,1.0000000000000002,1.0000000000000007,4.90002406616317e-16,1.0,5.731648654954183e-15,2834.176975797845,1.0
baseline,reference,0.0,0.01,0.01,matter_radial,1.014332714315046e-06,0.6300277525597197,0.3699712331075659,0.9999999999999999,0.9999999999999998,7.709073090514611e-16,1.0,2.4836631990258202,0.0,1.0
baseline,reference,0.0,0.01,0.01,matter_phase,2.867469200829819e-07,0.18168787377632378,0.8183118394767562,0.9999999999999998,0.9999999999999993,8.137232419247919e-16,1.0,7.522788859627366e-15,3.202700861676952,1.0
baseline,reference,0.01,0.01,0.01003520794400882,gauge_continuation_Xi,0.9999984441328422,1.555817301116804e-06,4.9856690786028065e-11,7.66042615032369,7.660409274726346,0.01621587675160956,7.66053793322626,2.8937088229450947e-15,2861.8727515243045,0.9999999964761391
baseline,reference,0.01,0.01,0.01003520794400882,matter_radial,9.885052200099224e-07,0.6339520885362477,0.3660469229585322,1.00311656109413,1.0030287962604707,0.013485072025357946,7.66053793322626,2.4616447423216843,0.0,0.9999828474853151
baseline,reference,0.01,0.01,0.01003520794400882,matter_phase,2.8199769211954573e-07,0.18451772295593713,0.8154819950463708,1.0034730900446462,1.0034127781486586,0.013568092966991544,7.66053793322626,2.170281617208821e-15,3.199016948123135,0.9999983419322461
baseline,reference,0.02,0.01,0.010068506807394292,gauge_continuation_Xi,0.9999984883726609,1.5115778182007615e-06,4.95208985721743e-11,9.06897440651114,9.068956064561593,0.018350917288832688,9.069107615424949,0.0,2886.8691425738293,0.9999999970378048
baseline,reference,0.02,0.01,0.010068506807394292,matter_radial,9.66264509266636e-07,0.6377583099872423,0.36224072374824845,1.006063324880706,1.0057835934074149,0.024195566261195303,9.069107615424949,2.4411557174055036,0.0,0.9999844786907619
baseline,reference,0.02,0.01,0.010068506807394292,matter_phase,2.776029680618815e-07,0.18696977463328013,0.8130299477637518,1.007299718151705,1.007083990750277,0.025680017133705987,9.069107615424949,1.825689666717627e-15,3.1934689117070434,0.9999988926152988
baseline,reference,0.03,0.01,0.010099935868545224,gauge_continuation_Xi,0.9999985269292583,1.4730214572334903e-06,4.928448493153329e-11,23.08773565212784,23.087685484877866,0.048175165867031425,23.088083755377433,1.4740063732549633e-15,2909.320409507413,0.9999999974967565
baseline,reference,0.03,0.01,0.010099935868545224,matter_radial,9.471547192995173e-07,0.6414441700636834,0.3585548827815974,1.008983977242858,1.0082471038889416,0.03982130699186533,23.088083755377433,2.4220241051399207,0.0,0.9999859696266402
baseline,reference,0.03,0.01,0.010099935868545224,matter_phase,2.735240271906871e-07,0.18905879259852387,0.8109409338774489,1.0115423171162576,1.0110225915288322,0.03894803822097931,23.088083755377433,2.9480127465099266e-15,3.1861838602667927,0.9999992078730044
baseline,reference,0.04,0.01,0.01012953500478344,gauge_continuation_Xi,0.9999985604966403,1.4394542230940713e-06,4.9136682178316845e-11,33.96198706642724,33.961911793927584,0.07153485608700426,33.96250257122129,2.974441576718403e-15,2929.3666934184926,0.9999999978749659
baseline,reference,0.04,0.01,0.01012953500478344,matter_radial,9.308065361929205e-07,0.6450108898661021,0.35498817932736176,1.011774751915717,1.0104240611949378,0.05446552471056688,33.96250257122129,2.4041108276681746,0.0,0.9999873332546547
baseline,reference,0.04,0.01,0.01012953500478344,matter_phase,2.697262481634861e-07,0.19079805656821647,0.8092016737055354,1.016168830391334,1.015225785567839,0.051746605941102086,33.96250257122129,3.7180519708980036e-16,3.1772734083113354,0.9999993348785838
baseline,reference,0.05,0.01,0.010157344644965602,gauge_continuation_Xi,0.9999985896493709,1.4103015606304856e-06,4.906848314167489e-11,41.37328048256885,41.37318768604821,0.08765321909918104,41.37391200012765,1.5001976423036587e-15,2947.136994110067,0.9999999981890483
baseline,reference,0.05,0.01,0.010157344644965602,matter_radial,9.169178346639363e-07,0.6484621728452543,0.351536910236911,1.0143413260967207,1.0123192199630617,0.06721106621905548,41.37391200012765,2.387303788785364,0.0,0.9999885789192298
baseline,reference,0.05,0.01,0.010157344644965602,matter_phase,2.661782788946598e-07,0.19219955535787916,0.807800178463842,1.0211442876874257,1.019687771024382,0.06375723426743156,41.37391200012765,6.141434098180603e-15,3.1668362587665624,0.9999993076898738
baseline,reference,0.06,0.01,0.010183405719813278,gauge_continuation_Xi,0.9999986148651204,1.385085807221176e-06,4.9072369813040415e-11,45.42950303847598,45.42940054012269,0.09652703970184466,45.43020060271628,1.5129397975974166e-15,2962.7494817539114,0.9999999984517265
baseline,reference,0.06,0.01,0.010183405719813278,matter_radial,9.052404759324556e-07,0.6518034450048774,0.34819564975464656,1.0166216183974377,1.013937400262803,0.0780495641679717,45.43020060271628,2.371513174419622,0.0,0.9999897132081457
baseline,reference,0.06,0.01,0.010183405719813278,matter_phase,2.628517465388409e-07,0.19327415990842764,0.8067255772398259,1.026439125093454,1.024399976806785,0.07497893884911924,45.43020060271628,3.2149970698945105e-15,3.1549602986308662,0.9999991508375413
baseline,reference,0.07,0.01,0.010207759610376075,gauge_continuation_Xi,0.9999986365428672,1.3634079906986882e-06,4.914205492182497e-11,46.49839312618302,46.49828842443876,0.09869953329286432,46.49911204812511,1.5254503077846322e-15,2976.3125759867225,0.9999999986728377
baseline,reference,0.07,0.01,0.010207759610376075,matter_radial,8.95569760184618e-07,0.6550412680309105,0.34495783639932937,1.0185892874516647,1.0152834877995904,0.08729610384146139,46.49911204812511,2.356667714821141,0.0,0.9999907405873563
baseline,reference,0.07,0.01,0.010207759610376075,matter_phase,2.5972085044653206e-07,0.19403177826549398,0.8059679620136555,1.032031956630783,1.0293512579737298,0.08553603466620269,46.49911204812511,7.627251538923161e-16,3.1417243094901424,0.9999988818173922
baseline,reference,0.08,0.01,0.010230448095013146,gauge_continuation_Xi,0.9999986550166517,1.3449340759287202e-06,4.9272307706449274e-11,45.090181728744845,45.09008158148429,0.0950585415019066,45.09088479133714,1.5377324092557433e-15,2987.925401809314,0.9999999988600601
baseline,reference,0.08,0.01,0.010230448095013146,matter_radial,8.877366029312852e-07,0.6581828866126892,0.34181622565070796,1.02024549422905,1.016362414529475,0.09538581570085841,45.09088479133714,2.342711688449649,0.0,0.9999916638809123
baseline,reference,0.08,0.01,0.010230448095013146,matter_phase,2.567620951000141e-07,0.1944814948034675,0.8055182484344373,1.0379083692578386,1.0345280623496873,0.09559604512966338,45.09088479133714,1.1917426171732011e-14,3.1271993710611294,0.9999985128395793
baseline,reference,0.09,0.01,0.010251513295262464,gauge_continuation_Xi,0.9999986705678411,1.329382700316177e-06,4.945872057417825e-11,41.767525796256315,41.76743592687501,0.08667319391016647,41.768184119674984,1.549789512771485e-15,2997.679830461874,0.999999999019434
baseline,reference,0.09,0.01,0.010251513295262464,matter_radial,8.816005120711959e-07,0.6612358812178294,0.3387632371816584,1.0216067866104255,1.0171791361560274,0.10275591777900166,41.768184119674984,2.329602503556046,0.0,0.9999924846442654
baseline,reference,0.09,0.01,0.010251513295262464,matter_phase,2.5395377969675815e-07,0.19463169595457977,0.8053680500916405,1.0440578688362192,1.0399145795421882,0.10532381885672373,41.768184119674984,2.3246842691572277e-15,3.1114500186759595,0.9999980520669914
baseline,reference,0.1,0.01,0.010270997620943084,gauge_continuation_Xi,0.9999986834337824,1.3165165200191379e-06,4.9697590675726393e-11,37.08176090923959,37.08168578735895,0.07467636970263154,37.08235386695718,1.5616251947432415e-15,3005.661062044442,0.9999999991557547
baseline,reference,0.1,0.01,0.010270997620943084,matter_radial,8.770447799958254e-07,0.6642079047371677,0.3357912182180523,1.0226943442045873,1.0177386154475865,0.10977440242930875,37.08235386695718,2.3173087339453495,0.0,0.999993203464044
baseline,reference,0.1,0.01,0.010270997620943084,matter_phase,2.512757741598067e-07,0.19449018455246617,0.8055095641717597,1.0504706603253973,1.0454928812629736,0.11485767057248007,37.08235386695718,3.9040629868581035e-15,3.094535202503642,0.9999975044978965
baseline,reference,0.11,0.01,0.010288943714821827,gauge_continuation_Xi,0.9999986938135865,1.3061364276485424e-06,4.998590133776222e-11,31.532420923241972,31.53236354504455,0.06020082536156001,31.532935462454656,0.0,3011.9468434463943,0.9999999992728617
baseline,reference,0.11,0.01,0.010288943714821827,matter_radial,8.739734548130047e-07,0.667106486632859,0.3328926393936861,1.0235268401956186,1.0180458149032163,0.1167068190000953,31.532935462454656,2.305808515002807,0.0,0.999993820207112
baseline,reference,0.11,0.01,0.010288943714821827,matter_phase,2.487095386540788e-07,0.19406428469673082,0.8059354665937304,1.0571351972509433,1.0512430597114328,0.12430097931631798,31.532935462454656,1.966553985391432e-15,3.0765090862626483,0.999996872597794
baseline,reference,0.12,0.01,0.010305394397158676,gauge_continuation_Xi,0.9999987018751838,1.2980744950176935e-06,5.032114538180123e-11,25.54558252421676,25.545544050828397,0.044402499913296575,25.546012198404224,0.0,3016.6096351522397,0.9999999993738379
baseline,reference,0.12,0.01,0.010305394397158676,matter_radial,8.72307349883482e-07,0.6699388920819837,0.33006023561066644,1.0241170489250233,1.0181056989228274,0.12371364800147738,25.546012198404224,2.2950882279200093,0.0,0.9999943342346465
baseline,reference,0.12,0.01,0.010305394397158676,matter_phase,2.4623766869994247e-07,0.1933609388216201,0.8066388149407112,1.0640367894737683,1.057143368794843,0.13372366080638529,25.546012198404224,5.546265809966508e-15,3.0574217154428376,0.9999961567523915
baseline,reference,0.13,0.01,0.010320392610417542,gauge_continuation_Xi,0.9999987077577935,1.2921915051233027e-06,5.070140045058396e-11,19.46650428019475,19.46648317532447,0.028762444538498032,19.46684828555561,3.1916835437705472e-15,3019.714725239059,0.9999999994611821
baseline,reference,0.13,0.01,0.010320392610417542,matter_radial,8.719830233392805e-07,0.6727120264882016,0.327287101528775,1.024471276170587,1.0179232440185724,0.13086789689435255,19.46684828555561,2.285141416342523,0.0,0.9999947445920635
