t,largest_normalized_singular_value,smallest_normalized_singular_value,normalized_condition_number,initial_q_over_H,q_over_H,complex_mode_count,maximum_abs_imaginary_omega_over_H,maximum_real_mode_adiabaticity,force_mode_adiabaticity
0.0,1.0,1.0,1.0,0.01,0.01,1.0,2.4836631990258127,nan,32266.31343333783
0.01,7.66053793322626,0.12939256989592945,59.20384717134559,0.01,0.01003520794400882,1.0,2.4616447423216865,nan,32352.05404451929
0.02,9.069107615424949,0.10832683971041668,83.71985779026531,0.01,0.010068506807394292,1.0,2.4411557174054885,nan,32442.66986991119
0.03,23.088083755377433,0.04217049832874659,547.4937378114608,0.01,0.010099935868545224,1.0,2.422024105139926,nan,32538.078895815517
0.04,33.96250257122129,0.028409110795160807,1195.4792536838727,0.01,0.01012953500478344,1.0,2.4041108276681973,nan,32638.20058040953
0.05,41.37391200012765,0.02310771050474753,1790.4808004076083,0.01,0.010157344644965602,1.0,2.387303788785347,nan,32742.95568291358
0.06,45.43020060271628,0.020851211968883496,2178.779855603228,0.01,0.010183405719813278,1.0,2.37151317441959,nan,32852.266107925876
0.07,46.49911204812511,0.020183238326535582,2303.8479403471724,0.01,0.010207759610376075,1.0,2.3566677148211266,nan,32966.054763647575
0.08,45.09088479133714,0.020619315600440336,2186.8274226509343,0.01,0.010230448095013146,1.0,2.342711688449649,nan,33084.245432871605
0.09,41.768184119674984,0.022050260243134986,1894.2263564748118,0.01,0.010251513295262464,1.0,2.3296025035560337,nan,33206.76265569676
0.1,37.08235386695718,0.024601298995889087,1507.3331645273565,0.01,0.010270997620943084,1.0,2.317308733945384,nan,33333.53162305223
0.11,31.532935462454656,0.028654812515126023,1100.4411718209412,0.01,0.010288943714821827,1.0,2.3058085150028207,nan,33464.478080184126
0.12,25.546012198404224,0.035030557597268926,729.2493739921473,0.01,0.010305394397158676,1.0,2.2950882279200018,nan,33599.52823931128
0.13,19.46684828555561,0.0455255514024067,427.60269092592466,0.01,0.010320392610417542,1.0,2.2851414163425128,nan,33738.60870078159
0.14,13.563640634539466,0.06470364533186179,209.62714797554642,0.01,0.010333981364423667,1.0,2.275967891931288,nan,33881.64638203194
0.15,8.045814757098569,0.10800992332031406,74.49144032107044,0.01,0.010346203682205894,1.0,2.267572994607732,nan,34028.568453838576
0.16,3.176109862801148,0.27092144233903975,11.723360969068159,0.01,0.010357102546763626,1.0,2.2599669803951,nan,34179.30228325843
0.17,2.2858879347613366,0.3727075884852371,6.133193971315881,0.01,0.010366720848971432,1.0,2.253164515243672,nan,34333.77538278039
0.18,5.9144246332382595,0.1426145210080666,41.47140551629891,0.01,0.010375101336804709,1.0,2.247184257479241,nan,34491.915365261244
0.19,9.232937719114808,0.09044246739465203,102.08630950796862,0.01,0.010382286566072211,1.0,2.2420485148733142,nan,34653.64990415907
0.2,12.03626523350367,0.06868094093713313,175.24898566140823,0.01,0.01038831885279162,1.0,2.237782964912122,nan,34818.90669876167
0.21,14.334519640643137,0.057087501561479445,251.0973373953984,0.01,0.01039324022735403,1.0,2.2344164289523762,nan,34987.61344400173
0.22,16.16777788461245,0.05010159617744039,322.6998562551273,0.01,0.010397092390586601,1.0,2.2319806925999117,nan,35159.697804521944
0.23,17.585836679015326,0.045593099857328505,385.71267876160056,0.01,0.010399916671816644,1.0,2.2305103659498755,nan,35335.087392717374
0.24,18.641713110303893,0.04257161902557228,437.8906308239307,0.01,0.01040175398901528,1.0,2.2300427784251102,nan,35513.70975044299
