Galaxy,Upsilon_disk,Upsilon_bulge,H0,Chi2_nu,dof,High_Fidelity,Prior_Clipped
CamB,0.01304843130034305,3.793519157935113,65.38178608665349,1.6377603892558223,6,1,0
D512-2,0.2832669279529168,4.173816937214552,72.7308448061455,2.3167207217839008,1,1,0
D564-8,0.2674140636508242,4.108709069310468,69.96214343824853,1.2118465153638835,3,1,0
D631-7,0.1334275917826959,3.9184462658036265,72.29046661351518,1.6534107237912674,13,1,0
DDO064,0.0104322115578134,3.9203639523209963,52.15895646874755,7.287050585076977,11,0,0
DDO154,0.3477446794579573,4.185407753471845,74.33774614352637,4.706646606238249,9,1,0
DDO161,0.0357072331544866,3.8667942069311265,69.25048384045873,2.384261553141117,28,1,0
DDO168,0.13965896222138646,3.9649283045672217,70.1505553486223,1.5131960730177136,7,1,0
DDO170,2.7202272447135396,3.921894196138955,76.78986943068023,2.293216503088003,5,1,0
ESO079-G014,0.012151409849287,3.7153451305752845,62.745899839263,1.1030563089198075,12,1,0
ESO116-G012,0.0122830960923208,3.943389869189961,64.91836090823043,1.1944327659747855,12,1,0
ESO444-G084,0.0500008814085572,3.9586513206047433,69.36270647173006,3.2691383048221123,4,1,0
ESO563-G021,0.0108632534024712,4.12112890779845,66.21222068999249,0.8022239866026794,27,1,0
F561-1,0.1495777625081135,4.1589481730880475,70.53623905113405,0.8984666134952256,3,1,0
F563-1,0.06543312890846914,4.136381665225814,70.93807575086927,1.0724280853767953,14,1,0
F563-V1,0.1641057108497667,4.13726626437542,70.58945733501918,1.0143120006727886,3,1,0
F563-V2,0.0114869190630746,4.062529199725004,56.639649592592136,3.3925851630285293,7,1,0
F565-V2,0.15492161262941612,4.123521035580701,70.38372969390204,1.6059791731317286,4,1,0
F567-2,0.1979441927285514,3.9484815103816606,71.17993244077509,2.23276017158248,2,1,0
F568-1,0.0132056854661766,3.9463205923194415,61.94945934256425,1.578456332294638,9,1,0
F568-3,0.0155250429089497,4.035359721117536,64.22578389603277,0.6627046516311101,15,1,0
F568-V1,0.012150296895172951,4.277735335050172,58.91179026032374,1.7340742888481866,12,1,0
F571-8,0.0104507824856441,4.062361832099708,60.89133420033809,3.812949707510518,10,1,0
F571-V1,0.40870848181649466,4.013649853574746,71.7236040026774,1.3124694161327808,4,1,0
F574-1,0.0149878062718177,3.9573471817818997,65.34869351673828,0.7681262123869321,11,1,0
F574-2,0.14664214924644703,4.165090888905609,68.65550722736714,2.3983404497593304,2,1,0
