Galaxy,V_flat_kms,M_b_Msun,V_ITSM_kms,Residual_kms,ML_source
CamB,16.8,21086067.97945191,19.356820864559865,-2.556820864559864,mcmc
D564-8,24.0,46197393.45965645,23.549923381684813,0.45007661831518675,mcmc
D631-7,57.7,476936358.99757904,42.21339079948424,15.486609200515765,mcmc
DDO064,46.4,342691392.4732269,38.86520201366455,7.534797986335448,mcmc
DDO154,47.4,355527715.53983915,39.22414592506445,8.17585407493555,mcmc
DDO161,66.3,2427023803.1903124,63.40209949079003,2.8979005092099683,mcmc
DDO168,54.8,531306197.74010366,43.3681953843513,11.431804615648694,mcmc
DDO170,60.0,3484617528.1960216,69.40230740344055,-9.402307403440545,mcmc
ESO079-G014,177.0,7065112823.516466,82.81612498649687,94.18387501350313,mcmc
ESO116-G012,111.0,2669991024.892653,64.9325682607097,46.0674317392903,mcmc
ESO444-G084,62.7,218767457.5936544,34.74007968646009,27.95992031353991,mcmc
ESO563-G021,315.0,41930987027.53059,129.26141381048456,185.73858618951544,mcmc
F561-1,50.4,2822093761.1885014,65.83820624158584,-15.438206241585839,mcmc
F563-1,111.0,5997110376.266352,79.49149061312056,31.50850938687944,mcmc
F563-V1,28.6,885997903.5116028,49.28256506228927,-20.68256506228927,mcmc
F563-V2,118.0,3851039161.333455,71.15896359655812,46.841036403441876,mcmc
F565-V2,78.5,1616764332.714406,57.27918240608575,21.220817593914248,mcmc
F567-2,48.1,1861694128.6580062,59.33517295850578,-11.235172958505778,mcmc
F568-1,133.0,7013848363.90838,82.66548602245408,50.334513977545924,mcmc
F568-3,117.0,6507596366.088957,81.13164512669803,35.86835487330197,mcmc
F568-V1,113.0,5374311420.32751,77.3420782011832,35.6579217988168,mcmc
F571-8,140.0,575867513.3783448,44.25025473864124,95.74974526135875,mcmc
F571-V1,83.9,3441088930.08872,69.18454745311153,14.715452546888471,mcmc
F574-1,99.5,2747830089.771694,65.40073047794846,34.09926952205154,mcmc
F574-2,36.0,2487731896.6067066,63.79490925466419,-27.79490925466419,mcmc
F579-V1,114.0,4025038452.7748985,71.94947656899942,42.050523431000585,mcmc
F583-1,85.8,5925773217.056368,79.25403585861409,6.545964141385909,mcmc
F583-4,67.2,424716366.0189658,41.007177631756825,26.192822368243178,mcmc
IC2574,67.1,1832453459.4997368,59.1008012351603,7.999198764839697,mcmc
IC4202,243.0,23943060665.993317,112.36473887147419,130.63526112852583,mcmc
KK98-251,34.2,222836226.5198888,34.90049440404418,-0.7004944040441785,mcmc
NGC0024,109.0,1148361767.6066396,52.58414437216075,56.41585562783925,mcmc
