Name,Dist,i
CamB,3.36,65.0
D512-2,15.2,56.0
D564-8,8.79,63.0
D631-7,7.72,59.0
DDO064,6.8,60.0
DDO154,4.04,64.0
DDO161,7.5,70.0
DDO168,4.25,63.0
DDO170,15.4,66.0
ESO079-G014,28.7,79.0
ESO116-G012,13.0,74.0
ESO444-G084,4.83,32.0
ESO563-G021,60.8,83.0
F561-1,66.4,24.0
F563-1,48.9,25.0
F563-V1,54.0,60.0
F563-V2,59.7,29.0
F565-V2,51.8,60.0
F567-2,79.0,20.0
F568-1,90.7,26.0
F568-3,82.4,40.0
F568-V1,80.6,40.0
F571-8,53.3,85.0
F571-V1,80.1,30.0
F574-1,96.8,65.0
F574-2,89.1,30.0
F579-V1,89.5,26.0
F583-1,35.4,63.0
F583-4,53.3,55.0
IC2574,3.91,75.0
IC4202,100.4,90.0
KK98-251,6.8,59.0
NGC0024,7.3,64.0
NGC0055,2.11,77.0
NGC0100,13.5,89.0
NGC0247,3.7,74.0
NGC0289,20.8,46.0
NGC0300,2.08,42.0
NGC0801,80.7,80.0
NGC0891,9.91,90.0
NGC1003,11.4,67.0
NGC1090,37.0,64.0
NGC1705,5.73,80.0
NGC2366,3.27,68.0
NGC2403,3.16,63.0
NGC2683,9.81,80.0
NGC2841,14.1,76.0
NGC2903,6.6,66.0
NGC2915,4.06,56.0
NGC2955,97.9,56.0
NGC2976,3.58,61.0
NGC2998,68.1,58.0
NGC3109,1.33,70.0
NGC3198,13.8,73.0
NGC3521,7.7,75.0
NGC3726,18.0,53.0
NGC3741,3.21,70.0
NGC3769,18.0,70.0
NGC3877,18.0,76.0
NGC3893,18.0,49.0
NGC3917,18.0,79.0
NGC3949,18.0,55.0
NGC3953,18.0,62.0
NGC3972,18.0,77.0
NGC3992,23.7,56.0
NGC4010,18.0,89.0
NGC4013,18.0,89.0
NGC4051,18.0,49.0
NGC4068,4.37,44.0
NGC4085,18.0,82.0
NGC4088,18.0,69.0
NGC4100,18.0,73.0
NGC4138,18.0,53.0
NGC4157,18.0,82.0
NGC4183,18.0,82.0
NGC4214,2.87,15.0
NGC4217,18.0,86.0
NGC4389,18.0,50.0
NGC4559,9.0,67.0
NGC5005,16.9,68.0
NGC5033,15.7,66.0
NGC5055,9.9,55.0
NGC5371,39.7,53.0
NGC5585,7.06,51.0
NGC5907,17.3,88.0
NGC5985,39.7,60.0
NGC6015,17.0,60.0
NGC6195,127.8,62.0
NGC6503,6.26,74.0
NGC6674,51.2,54.0
NGC6789,3.52,43.0
NGC6946,5.52,38.0
NGC7331,14.7,75.0
NGC7793,3.61,47.0
NGC7814,14.4,90.0
PGC51017,13.6,66.0
UGC00128,64.5,57.0
UGC00191,17.1,45.0
UGC00634,30.9,37.0
UGC00731,12.5,57.0
UGC00891,10.2,60.0
UGC01230,53.7,22.0
UGC01281,5.27,90.0
UGC02023,10.4,19.0
UGC02259,10.5,41.0
UGC02455,6.92,51.0
UGC02487,69.1,36.0
UGC02885,80.6,64.0
UGC02916,65.4,50.0
UGC02953,16.5,50.0
UGC03205,50.0,67.0
UGC03546,28.7,55.0
UGC03580,20.7,63.0
UGC04278,9.51,90.0
UGC04305,3.45,40.0
UGC04325,9.6,41.0
UGC04483,3.34,58.0
UGC04499,12.5,50.0
UGC05005,53.7,41.0
UGC05253,22.9,37.0
UGC05414,9.4,55.0
UGC05716,21.3,54.0
UGC05721,6.18,61.0
UGC05750,58.7,64.0
UGC05764,7.47,60.0
UGC05829,8.64,34.0
UGC05918,7.66,46.0
UGC05986,8.63,90.0
UGC05999,47.7,22.0
UGC06399,18.0,75.0
UGC06446,12.0,51.0
UGC06614,88.7,36.0
UGC06628,15.1,20.0
UGC06667,18.0,89.0
UGC06786,29.3,64.0
UGC06787,21.3,66.0
UGC06818,18.0,75.0
UGC06917,18.0,56.0
UGC06923,18.0,65.0
UGC06930,18.0,32.0
UGC06973,18.0,71.0
UGC06983,18.0,49.0
UGC07089,18.0,80.0
UGC07125,19.8,90.0
UGC07151,6.87,90.0
UGC07232,2.83,59.0
UGC07261,13.1,30.0
UGC07323,8.0,47.0
UGC07399,8.43,55.0
UGC07524,4.74,46.0
UGC07559,4.97,61.0
UGC07577,2.59,63.0
UGC07603,4.7,78.0
UGC07608,8.21,25.0
UGC07690,8.11,41.0
UGC07866,4.57,44.0
UGC08286,6.5,90.0
UGC08490,4.65,50.0
UGC08550,6.7,90.0
UGC08699,39.3,73.0
UGC08837,7.21,80.0
UGC09037,83.6,65.0
UGC09133,57.1,53.0
UGC09992,10.7,30.0
UGC10310,15.2,34.0
UGC11455,78.6,90.0
UGC11557,24.2,30.0
UGC11820,18.1,45.0
UGC11914,16.9,31.0
UGC12506,100.6,86.0
UGC12632,9.77,46.0
UGC12732,13.2,39.0
UGCA281,5.68,67.0
UGCA442,4.35,64.0
UGCA444,0.98,78.0
