Name,Qual
CamB,2
D512-2,2
D564-8,2
D631-7,1
DDO064,1
DDO154,2
DDO161,1
DDO168,2
DDO170,2
ESO079-G014,1
ESO116-G012,1
ESO444-G084,2
ESO563-G021,1
F561-1,3
F563-1,1
F563-V1,3
F563-V2,1
F565-V2,2
F567-2,3
F568-1,1
F568-3,1
F568-V1,1
F571-8,1
F571-V1,2
F574-1,1
F574-2,3
F579-V1,1
F583-1,1
F583-4,1
IC2574,2
IC4202,1
KK98-251,2
NGC0024,1
NGC0055,2
NGC0100,1
NGC0247,2
NGC0289,2
NGC0300,2
NGC0801,1
NGC0891,1
NGC1003,1
NGC1090,1
NGC1705,3
NGC2366,3
NGC2403,1
NGC2683,2
NGC2841,1
NGC2903,1
NGC2915,2
NGC2955,1
NGC2976,2
NGC2998,1
NGC3109,1
NGC3198,1
NGC3521,1
NGC3726,2
NGC3741,1
NGC3769,2
NGC3877,2
NGC3893,1
NGC3917,1
NGC3949,2
NGC3953,1
NGC3972,1
NGC3992,1
NGC4010,2
NGC4013,2
NGC4051,2
NGC4068,2
NGC4085,2
NGC4088,1
NGC4100,1
NGC4138,2
NGC4157,1
NGC4183,1
NGC4214,2
NGC4217,1
NGC4389,3
NGC4559,1
NGC5005,1
NGC5033,1
NGC5055,1
NGC5371,1
NGC5585,1
NGC5907,1
NGC5985,1
NGC6015,2
NGC6195,1
NGC6503,1
NGC6674,1
NGC6789,2
NGC6946,1
NGC7331,1
NGC7793,1
NGC7814,1
PGC51017,3
UGC00128,1
UGC00191,1
UGC00634,2
UGC00731,1
UGC00891,2
UGC01230,1
UGC01281,1
UGC02023,2
UGC02259,2
UGC02455,3
UGC02487,1
UGC02885,1
UGC02916,2
UGC02953,2
UGC03205,1
UGC03546,1
UGC03580,2
UGC04278,1
UGC04305,3
UGC04325,1
UGC04483,2
UGC04499,1
UGC05005,1
UGC05253,2
UGC05414,1
UGC05716,2
UGC05721,1
UGC05750,1
UGC05764,2
UGC05829,2
UGC05918,2
UGC05986,2
UGC05999,2
UGC06399,1
UGC06446,1
UGC06614,1
UGC06628,2
UGC06667,1
UGC06786,1
UGC06787,2
UGC06818,2
UGC06917,1
UGC06923,2
UGC06930,1
UGC06973,3
UGC06983,1
UGC07089,2
UGC07125,1
UGC07151,1
UGC07232,2
UGC07261,2
UGC07323,1
UGC07399,1
UGC07524,1
UGC07559,2
UGC07577,2
UGC07603,1
UGC07608,1
UGC07690,2
UGC07866,2
UGC08286,1
UGC08490,1
UGC08550,1
UGC08699,2
UGC08837,2
UGC09037,2
UGC09133,1
UGC09992,2
UGC10310,1
UGC11455,1
UGC11557,2
UGC11820,1
UGC11914,1
UGC12506,2
UGC12632,1
UGC12732,1
UGCA281,3
UGCA442,1
UGCA444,2
