galaxy,N_points,chi2_C23,chi2_C1,delta_chi2,delta_bic,success_23,success_1
UGC02953,115,2933.038764204233,692.845208584668,-2240.193555619565,-2240.193555619565,True,True
UGC06787,71,3228.59305026043,2087.0169139319723,-1141.5761363284578,-1141.5761363284578,True,True
UGC06786,45,1438.6468751288094,548.3290219499203,-890.3178531788891,-890.317853178889,True,True
UGC03580,47,2029.1334503599037,1315.5980153008836,-713.5354350590198,-713.5354350590198,True,True
NGC2903,34,1576.5685297210475,962.3170622583572,-614.2514674626904,-614.2514674626904,True,True
UGC05764,10,832.7483787060934,316.65470145830795,-516.0936772477854,-516.0936772477853,True,True
NGC5055,28,634.7716889403853,121.90800394069026,-512.863684999695,-512.8636849996951,True,True
NGC2403,73,1570.3251527922782,1159.8026920300338,-410.52246076224446,-410.52246076224446,True,True
NGC2841,50,294.94520499214303,85.50410539167677,-209.44109960046623,-209.44109960046623,True,True
NGC7331,36,284.3366313197467,99.09268297606422,-185.2439483436825,-185.2439483436825,True,True
NGC6503,31,288.91583034262254,109.19563798607828,-179.72019235654426,-179.72019235654426,True,True
UGC07399,10,204.2643672220144,40.91011702048809,-163.35425020152627,-163.35425020152627,True,True
NGC0891,18,277.33085022436654,156.0710762772323,-121.25977394713424,-121.25977394713424,True,True
UGC05253,73,537.445007862969,421.3615374272817,-116.08347043568727,-116.08347043568727,True,True
IC4202,32,1656.0988293580667,1551.0537865026529,-105.04504285541384,-105.04504285541384,True,True
NGC2915,30,231.8929535321279,134.93116681168024,-96.96178672044766,-96.96178672044766,True,True
ESO563-G021,30,892.4456627967323,801.1313542156745,-91.31430858105784,-91.31430858105784,True,True
F571-8,13,689.0571472956408,613.9898573377149,-75.06728995792594,-75.06728995792594,True,True
NGC4013,36,159.75508899121348,86.25767918706059,-73.4974098041529,-73.4974098041529,True,True
NGC7814,18,115.76699212594228,42.59393150906244,-73.17306061687984,-73.17306061687984,True,True
ESO444-G084,7,90.92277404323954,25.738578864905637,-65.18419517833391,-65.18419517833391,True,True
UGC03546,30,90.11724475358,29.816080230939853,-60.30116452264016,-60.30116452264015,True,True
UGC06667,9,101.76032510434791,42.106440636161736,-59.65388446818618,-59.65388446818617,True,True
NGC4217,19,301.55047695704906,242.1329369163201,-59.41754004072894,-59.41754004072891,True,True
UGC11914,65,228.7445918298362,171.58642632181312,-57.15816550802308,-57.15816550802308,True,True
NGC5585,24,286.09016616539253,231.66992884910437,-54.420237316288194,-54.420237316288194,True,True
UGC05986,15,119.74030447886244,66.46882626735012,-53.2714782115123,-53.27147821151229,True,True
UGC06973,9,200.54876967195327,151.83831182667572,-48.710457845277546,-48.710457845277546,True,True
ESO116-G012,15,79.34227818866232,34.541222252405504,-44.801055936256816,-44.801055936256816,True,True
NGC5033,22,167.9652448219096,125.21538350883247,-42.74986131307713,-42.74986131307713,True,True
