galaxy,N_points,chi2_C23,chi2_C1,delta_chi2,delta_bic,success_23,success_1
CamB,9,330.09054507982677,817.4253426184991,487.3347975386724,487.3347975386724,True,True
D564-8,6,10.241031137943807,19.540629741303334,9.299598603359527,9.299598603359527,True,True
D631-7,16,252.8959323522529,251.20247331272253,-1.6934590395303815,-1.6934590395304099,True,True
DDO064,14,3.860247180250652,9.701479528345885,5.841232348095233,5.841232348095236,True,True
DDO154,12,72.67761568442565,64.02273205785133,-8.654883626574318,-8.654883626574318,True,True
DDO161,31,91.46913809466871,212.0215789544072,120.5524408597385,120.55244085973851,True,True
DDO170,8,23.485327294955166,48.28692695505754,24.801599660102372,24.801599660102376,True,True
DDO168,10,161.67718343557442,155.98699778393697,-5.690185651637449,-5.690185651637449,True,True
ESO079-G014,15,62.06216419588509,54.33703636487184,-7.725127831013246,-7.725127831013253,True,True
ESO444-G084,7,90.92277404323954,25.738578864905634,-65.18419517833391,-65.18419517833391,True,True
F561-1,6,22.583207548667257,76.75253791554005,54.169330366872785,54.169330366872785,True,True
F563-V1,6,49.14000038780715,136.2707287331066,87.13072834529946,87.13072834529946,True,True
ESO116-G012,15,79.34227818866232,34.541222252405504,-44.801055936256816,-44.801055936256816,True,True
F563-V2,10,18.44374154159422,8.801255881094674,-9.642485660499547,-9.642485660499549,True,True
ESO563-G021,30,892.4456627967323,801.1313542156745,-91.31430858105784,-91.31430858105784,True,True
F563-1,17,29.868321914106343,21.012720577112642,-8.8556013369937,-8.8556013369937,True,True
F565-V2,7,8.52964792670086,2.406395266773674,-6.123252659927187,-6.1232526599271875,True,True
F568-1,12,27.988370431364608,14.35584028759418,-13.632530143770428,-13.632530143770424,True,True
F567-2,5,7.35948537994317,13.651810813663435,6.292325433720265,6.292325433720265,True,True
F568-3,18,46.586292967891154,43.78111531744129,-2.8051776504498633,-2.8051776504498633,True,True
F568-V1,15,41.65075670198825,17.6709117246088,-23.97984497737945,-23.97984497737945,True,True
F574-2,5,30.053213541879803,74.5310453301222,44.4778317882424,44.47783178824239,True,True
F571-8,13,689.0571472956408,613.9898573377149,-75.06728995792594,-75.06728995792594,True,True
F571-V1,7,1.6662050806743514,1.4191237415325233,-0.24708133914182806,-0.24708133914182717,True,True
F583-1,25,65.66696484948784,63.27195763379377,-2.395007215694072,-2.395007215694065,True,True
F579-V1,14,22.81454969300282,25.513917668573217,2.6993679755703965,2.6993679755703965,True,True
IC2574,34,489.6783888371378,590.7861240831903,101.10773524605253,101.10773524605253,True,True
F583-4,12,1.4481863084493445,1.1779117504226226,-0.27027455802672185,-0.2702745580267223,True,True
F574-1,14,25.308538387825845,26.519115963974503,1.2105775761486584,1.2105775761486584,True,True
KK98-251,15,18.171321351954504,89.92940832905668,71.75808697710218,71.75808697710218,True,True
NGC0024,29,33.9056489877912,22.59044998425879,-11.315199003532413,-11.315199003532413,True,True
IC4202,32,1656.0988293580667,1551.0537865026529,-105.04504285541384,-105.04504285541384,True,True
NGC0055,21,49.60493185108092,51.64655032790895,2.0416184768280274,2.0416184768280274,True,True
NGC0100,21,39.88675414472809,28.359745688727305,-11.527008456000782,-11.527008456000779,True,True
NGC0289,28,44.87997420825091,54.58903676109772,9.70906255284681,9.709062552846802,True,True
NGC0247,26,60.20462641469754,73.07270481901868,12.868078404321139,12.868078404321139,True,True
NGC0801,13,81.09715517947292,148.9449127299478,67.84775755047487,67.84775755047487,True,True
NGC1705,14,35.67459654373996,7.566451290786626,-28.108145252953335,-28.108145252953335,True,True
NGC0300,25,48.53857516439856,24.156889984219994,-24.381685180178565,-24.381685180178565,True,True
NGC2366,26,43.25122901469701,52.67586101561158,9.42463200091457,9.42463200091457,True,True
NGC1003,36,212.69373888162337,177.39031631320387,-35.303422568419506,-35.303422568419506,True,True
NGC0891,18,277.33085022436654,156.0710762772323,-121.25977394713425,-121.25977394713425,True,True
NGC2683,11,7.856432137177349,12.022583372984418,4.166151235807068,4.166151235807067,True,True
NGC2841,50,294.94520499214303,85.50410539167677,-209.44109960046626,-209.44109960046623,True,True
NGC2403,73,1570.3251527922782,1159.8026920300338,-410.52246076224446,-410.52246076224446,True,True
NGC1090,24,66.5323050595558,66.37254761561968,-0.15975744393611535,-0.15975744393611535,True,True
NGC2976,27,29.55656784782885,32.28389313388835,2.7273252860595,2.7273252860595036,True,True
NGC3109,25,117.30006240664287,104.9766035700984,-12.32345883654446,-12.32345883654446,True,True
NGC2955,24,90.5074246892781,85.95272826975017,-4.554696419527929,-4.554696419527929,True,True
NGC3521,41,39.633878074121895,26.26550203455408,-13.368376039567817,-13.36837603956782,True,True
NGC3741,21,31.5833660302607,16.359953387954363,-15.223412642306336,-15.223412642306336,True,True
NGC3198,43,120.18900601712315,102.30380138205294,-17.88520463507021,-17.88520463507021,True,True
NGC2903,34,1576.5685297210475,962.3170622583572,-614.2514674626904,-614.2514674626904,True,True
NGC3726,12,32.236093115219866,32.879681292160626,0.6435881769407601,0.6435881769407601,True,True
NGC2998,13,23.604965977818154,30.31375271928433,6.708786741466177,6.708786741466177,True,True
NGC3769,12,13.979176350853814,8.545351068142441,-5.433825282711373,-5.433825282711371,True,True
NGC3893,10,20.47306974157502,7.984791743113058,-12.488277998461964,-12.488277998461964,True,True
NGC3917,17,59.45841884769644,61.85623841711641,2.3978195694199655,2.3978195694199655,True,True
NGC3949,7,3.3434180266155042,2.175172223362254,-1.1682458032532503,-1.1682458032532494,True,True
NGC3877,13,108.69856684471522,104.2834427559947,-4.415124088720518,-4.415124088720518,True,True
NGC3972,10,19.63266776141869,15.38412040736825,-4.248547354050441,-4.248547354050441,True,True
NGC4068,6,7.945462030766327,19.206077510376645,11.260615479610317,11.260615479610316,True,True
NGC3953,8,9.158100421802027,15.56943658130964,6.411336159507613,6.411336159507613,True,True
NGC4010,12,31.913630276407922,25.09674667127081,-6.816883605137111,-6.816883605137107,True,True
NGC3992,9,8.821891375898309,13.268455106275196,4.446563730376887,4.446563730376887,True,True
NGC4389,6,58.00492834137674,107.44558683020185,49.44065848882511,49.44065848882511,True,True
NGC2915,30,231.8929535321279,134.93116681168024,-96.96178672044766,-96.96178672044766,True,True
NGC4085,7,43.92916653161872,40.38145793693752,-3.547708594681197,-3.547708594681197,True,True
NGC4051,7,8.827953810785491,11.474155813916536,2.6462020031310445,2.6462020031310445,True,True
NGC4013,36,159.75508899121348,86.25767918706059,-73.4974098041529,-73.4974098041529,True,True
NGC4214,14,30.86018380289734,19.780907431360948,-11.079276371536391,-11.079276371536395,True,True
NGC4100,24,32.20077000820228,30.902861883308603,-1.2979081248936737,-1.2979081248936737,True,True
NGC4183,23,13.300764785364889,23.168892636419145,9.868127851054256,9.868127851054254,True,True
NGC4157,17,18.573478878827622,11.017828815870528,-7.555650062957094,-7.5556500629570955,True,True
NGC4217,19,301.55047695704906,242.13293691632012,-59.41754004072894,-59.41754004072891,True,True
NGC4138,7,4.435163049174339,4.926074164896171,0.49091111572183266,0.49091111572183266,True,True
NGC4088,12,9.536375639212109,10.742371312206359,1.2059956729942503,1.2059956729942485,True,True
NGC5371,19,302.2770710147132,493.3113206650294,191.0342496503162,191.0342496503162,True,True
NGC4559,32,18.355556676214626,20.14516898886202,1.789612312647396,1.7896123126473924,True,True
NGC5055,28,634.7716889403853,121.90800394069026,-512.863684999695,-512.8636849996951,True,True
NGC5985,33,383.57096448315326,420.7570646823932,37.186100199239945,37.186100199239945,True,True
NGC5907,19,111.26350218844914,125.01107562479685,13.747573436347707,13.747573436347693,True,True
NGC5033,22,167.9652448219096,125.21538350883247,-42.74986131307713,-42.74986131307713,True,True
NGC5005,18,1.6310454082440784,1.0555445818912255,-0.5755008263528529,-0.5755008263528527,True,True
NGC6503,31,288.91583034262254,109.19563798607828,-179.72019235654426,-179.72019235654426,True,True
NGC6195,23,60.12441622006939,59.35234838230196,-0.7720678377674304,-0.7720678377674375,True,True
PGC51017,6,200.29270904439568,556.7205822518786,356.4278732074829,356.4278732074829,True,True
NGC5585,24,286.09016616539253,231.66992884910434,-54.420237316288194,-54.420237316288194,True,True
NGC6015,44,453.9692836963097,459.9832124679218,6.013928771612143,6.013928771612143,True,True
UGC00731,12,138.96804741754914,134.97901127237503,-3.9890361451741114,-3.9890361451741114,True,True
UGC02023,5,2.333406636748324,5.971350361360868,3.6379437246125437,3.6379437246125423,True,True
UGC02455,8,257.60120025580756,554.1736771504796,296.5724768946721,296.5724768946721,True,True
NGC7331,36,284.3366313197467,99.09268297606422,-185.24394834368246,-185.24394834368246,True,True
UGC00128,22,669.1409717747603,808.1168292239227,138.9758574491624,138.9758574491624,True,True
UGC01230,11,17.93239075653308,25.731235819304075,7.798845062770994,7.798845062770994,True,True
UGC00191,9,28.50367209955989,37.64852831629076,9.144856216730869,9.144856216730872,True,True
NGC7793,46,41.34628464766682,42.222670930731326,0.8763862830645053,0.8763862830645053,True,True
NGC7814,18,115.76699212594228,42.59393150906244,-73.17306061687984,-73.17306061687984,True,True
UGC04305,22,281.2571604718769,826.3229079853157,545.0657475134389,545.0657475134389,True,True
NGC6946,58,90.33960642368118,76.43634103988025,-13.903265383800928,-13.903265383800928,True,True
NGC6674,15,105.80320022187102,111.44218256047215,5.638982338601124,5.638982338601124,True,True
UGC04278,25,69.46150626928814,62.07691622873397,-7.384590040554166,-7.3845900405541585,True,True
UGC00891,5,69.65630505133058,59.4192287656532,-10.237076285677375,-10.237076285677375,True,True
UGC04483,8,3.589689059537789,10.886845488410097,7.2971564288723085,7.297156428872309,True,True
UGC02885,19,30.99765619431512,16.871127761909094,-14.126528432406026,-14.126528432406026,True,True
UGC04325,8,50.68063294884591,47.99321284357139,-2.6874201052745192,-2.6874201052745192,True,True
UGC02259,8,41.393691832934465,41.66061881680329,0.26692698386882796,0.26692698386882796,True,True
UGC04499,9,10.209669948525299,13.716902923484746,3.5072329749594466,3.50723297495945,True,True
UGC05005,11,1.802193450353541,4.604029359102862,2.8018359087493208,2.80183590874932,True,True
UGC03205,48,183.16132839362805,172.3380046789985,-10.823323714629566,-10.823323714629566,True,True
UGC05721,23,81.59403140469237,44.5382500063854,-37.055781398306976,-37.055781398306976,True,True
UGC03580,47,2029.1334503599035,1315.5980153008836,-713.5354350590198,-713.5354350590198,True,True
UGC05750,11,10.10974200671771,14.673121063208058,4.563379056490348,4.563379056490348,True,True
UGC05764,10,832.7483787060934,316.65470145830795,-516.0936772477854,-516.0936772477853,True,True
UGC05829,11,3.2858238813879934,9.518696728457527,6.232872847069534,6.232872847069533,True,True
UGC06628,7,23.092100205500287,56.147962352929994,33.05586214742971,33.05586214742971,True,True
UGC02953,115,2933.038764204233,692.845208584668,-2240.193555619565,-2240.193555619565,True,True
